,num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
507784,52,47,15,0,0,0,3,0,1
507787,251,143,95,0,0,0,3,0,1
507792,54,49,20,0,0,0,8,0,1
507793,68,61,8,0,0,0,13,0,1
507796,68,60,23,0,0,0,2,0,1
507797,127,80,40,0,0,0,9,0,1
507799,69,61,23,0,0,0,2,0,1
507802,24,24,1,0,0,0,10,0,1
507803,114,88,18,0,0,0,2,0,1
507804,163,121,54,0,0,0,6,0,1
507811,25,24,6,0,0,0,1,1,1
507812,86,62,24,3,2,0,8,0,1
507816,65,59,6,0,0,0,17,0,1
507817,73,61,12,0,0,0,22,0,1
507824,279,75,37,0,0,0,31,0,1
507828,7,7,2,0,0,0,0,0,1
507829,247,144,81,3,2,1,18,1,1
507830,334,201,67,0,0,0,68,1,1
507833,154,93,46,7,5,1,20,0,1
507835,52,50,3,0,0,0,7,0,1
507838,88,65,17,0,0,0,14,0,1
507839,163,86,6,0,0,0,63,0,1
507841,138,82,42,0,0,0,15,2,1
507842,543,310,171,0,0,0,97,0,1
507848,12,12,2,0,0,0,2,0,1
507849,149,109,46,0,0,0,4,0,1
507850,205,127,54,0,0,0,28,0,1
507855,881,361,288,0,0,1,29,1,1
507859,469,214,194,2,2,1,12,0,1
507860,410,210,127,3,3,2,22,1,1
507862,82,68,23,0,0,0,11,1,1
507866,172,124,51,0,0,0,10,0,1
507867,52,44,6,0,0,0,5,0,1
507870,105,71,37,0,0,0,9,0,1
507871,521,247,189,1,1,1,23,0,1
507872,80,65,33,0,0,0,9,0,1
507873,234,140,92,0,0,0,6,1,1
507874,63,46,14,3,3,1,11,0,1
507877,170,104,48,6,2,1,3,0,1
507882,544,176,53,65,3,1,195,1,1
507884,61,51,18,0,0,0,7,2,1
507885,34,34,1,0,0,0,6,0,1
507886,911,346,268,0,0,0,27,0,1
507887,87,66,25,0,0,0,1,0,1
507891,368,178,134,0,0,0,5,4,1
507892,396,221,127,0,0,0,16,1,1
507894,102,68,6,0,0,0,27,0,1
507896,109,92,18,0,0,0,30,0,1
507898,195,146,64,0,0,2,8,0,1
507899,531,285,183,2,2,0,21,2,1
507900,82,73,19,0,0,0,2,0,1
507905,112,87,28,0,0,0,8,0,1
507907,50,48,5,0,0,0,1,0,1
507908,233,168,45,0,0,0,32,0,1
507911,1723,673,587,0,0,0,44,2,1
507913,343,168,112,0,0,0,10,1,1
507914,34,32,12,0,0,0,1,0,1
507917,421,199,156,0,0,2,4,0,1
507919,134,83,51,0,0,0,5,0,1
507923,287,181,117,0,0,0,6,1,1
507925,14,13,0,0,0,0,4,0,1
507931,65,48,28,0,0,0,2,0,1
507934,552,265,219,0,0,0,19,2,1
507936,148,146,3,0,0,0,23,0,1
507938,191,139,62,0,0,0,20,0,1
507943,34,15,0,2,1,2,11,0,1
507946,124,92,49,1,1,1,3,0,1
507951,98,75,36,0,0,0,9,0,1
507960,72,38,6,0,0,0,14,0,1
507968,79,79,0,0,0,0,8,0,1
507969,62,54,10,0,0,0,11,0,1
507971,45,37,14,0,0,0,2,0,1
507973,57,44,0,0,0,0,33,0,1
507976,8,8,1,0,0,0,1,0,1
507977,52,50,5,0,0,0,0,0,1
507979,534,278,154,0,0,0,68,2,1
507983,219,139,77,0,0,0,8,0,1
507984,179,114,61,0,0,0,3,0,1
507986,616,303,95,0,0,0,121,1,1
507987,472,254,137,0,0,0,70,0,1
507991,34,29,9,0,0,0,2,0,1
507992,66,52,15,0,0,0,2,0,1
507993,25,25,2,0,0,0,9,0,1
507994,54,47,9,0,0,0,12,0,1
507995,345,187,127,0,0,0,4,1,1
507997,66,52,25,0,0,0,3,0,1
508002,49,40,13,0,0,0,8,1,1
508003,39,32,11,0,0,0,4,0,1
508008,15,15,2,0,0,0,3,0,1
508009,24,24,0,0,0,0,10,0,1
508011,86,67,32,0,0,0,13,0,1
508012,898,435,304,0,0,0,102,1,1
508013,399,212,150,0,0,1,8,1,1
508014,99,70,29,3,1,0,1,0,1
508017,56,52,10,0,0,0,12,0,1
508019,199,141,66,0,0,0,3,0,1
508025,665,273,260,0,0,0,25,0,1
508026,77,63,25,0,0,0,3,0,1
508027,49,38,9,0,0,0,3,0,1
508029,137,103,45,0,0,0,6,0,1
508035,109,83,37,0,0,0,8,0,1
508039,70,64,14,0,0,0,9,0,1
508040,66,62,9,0,0,0,14,0,1
508042,183,132,46,0,0,0,50,0,1
508046,212,133,75,4,3,1,12,1,1
508051,269,225,56,0,0,0,9,0,1
508053,12,12,1,0,0,0,2,0,1
508054,165,91,58,1,1,3,13,0,1
508057,391,233,100,0,0,0,39,1,1
508058,78,57,30,0,0,0,5,0,1
